iter	RMSE	MAP:top=5
794	0.6936155835	0.7333937802
795	0.6935669208	0.7335530265
796	0.6935332614	0.7336333445
797	0.6934931838	0.7338738814
798	0.6934545618	0.7340006114
799	0.6934308372	0.7340781502
800	0.6933749214	0.7340939914
801	0.6933392385	0.7343899728
802	0.6932829227	0.7348085154
803	0.6932511782	0.7346330109
804	0.6931860302	0.7350773998
805	0.6931478375	0.7351857873
806	0.6930820478	0.7351274248
807	0.6930441884	0.7352299761
808	0.6929933881	0.7360303763
809	0.6929500752	0.7357302262
810	0.6929107738	0.7356518537
811	0.6928680011	0.735774415
812	0.692811716	0.735741065
813	0.6927882139	0.7354725974
814	0.6927645073	0.7355476349
815	0.6927156876	0.7350957423
816	0.6926849724	0.7351724473
817	0.692629741	0.7353608749
818	0.6925820416	0.7356276749
819	0.6925561418	0.735821105
820	0.6925109602	0.735854455
821	0.6924555135	0.7362129676
822	0.6923928595	0.7365531377
823	0.692355851	0.7364597577
824	0.6923250765	0.7363763826
825	0.6922554196	0.736321772
826	0.6922197268	0.7360485798
827	0.6921747719	0.7365315991
828	0.6921388113	0.7364548941
829	0.692088576	0.7367683842
830	0.692058563	0.736778945
831	0.6920011568	0.7370590851
832	0.6919451344	0.7371437107
833	0.691911286	0.7371803958
834	0.6918628119	0.7373221333
835	0.691820709	0.7375355733
836	0.6917714671	0.7374822133
837	0.6917355344	0.7374088433
838	0.6916953849	0.7375755934
839	0.6916682612	0.7375972709
840	0.6916317069	0.7377240009
841	0.691603755	0.7378073759
842	0.691562635	0.738094186
843	0.691522228	0.7378840809
844	0.6914779657	0.7374855483
845	0.6914334448	0.7377306709
846	0.6913992306	0.7379474459
847	0.6913451795	0.7378578178
848	0.6912886591	0.7382296704
849	0.69125384	0.7385064755
850	0.6912196438	0.7389233506
851	0.6911304877	0.7390550831
852	0.6910948834	0.7391251181
853	0.6909950631	0.7386266744
854	0.6909411647	0.7382731644
855	0.6909048706	0.7383115169
856	0.6908611422	0.738658357
857	0.6907864868	0.7383782169
858	0.6907359689	0.7384665944
859	0.6906985789	0.7385749819
860	0.6906416678	0.738848452
861	0.6906018658	0.7394220721
862	0.6905662815	0.7392286421
863	0.6905110478	0.7391969596
864	0.6904474896	0.7392453171
865	0.6904161081	0.7390952421
866	0.6904069583	0.7392069646
867	0.6903749691	0.7394354122
868	0.6903328797	0.7399748485
869	0.690304523	0.7400482186
870	0.6902673288	0.7402353955
871	0.6902410861	0.7404129843
872	0.6901900299	0.7404033961
873	0.6901350553	0.7405401312
874	0.6900856982	0.7406097493
875	0.6900296761	0.7404759324
876	0.6899715369	0.7406243399
877	0.6899388396	0.7405709799
878	0.6898760667	0.7404775999
